MapID,Group,Group difference
1001.0,Assassin,0.010261014145586842
1001.0,Specialist,0.009818530244352069
1001.0,Support,-0.006855768267014132
1001.0,Warrior,-0.020450950822084084
1002.0,Assassin,-0.0038882598813303935
1002.0,Specialist,0.016059758594480184
1002.0,Support,-0.011114942701071013
1002.0,Warrior,-0.0012180389905960716
1003.0,Assassin,-0.003213781514038702
1003.0,Specialist,0.01445645946462095
1003.0,Support,-0.0034643824437913962
1003.0,Warrior,-0.00610100819749364
1004.0,Assassin,-0.009524358407882464
1004.0,Specialist,0.02861506572846779
1004.0,Support,-0.011735493066993044
1004.0,Warrior,-0.003607109723789843
1005.0,Assassin,0.011680516787283013
1005.0,Specialist,0.0023944774180400946
1005.0,Support,-0.016108964704341564
1005.0,Warrior,-0.009887730957055833
1007.0,Assassin,-0.018660984251039164
1007.0,Specialist,0.04248564527559624
1007.0,Support,-0.0038529475048412034
1007.0,Warrior,-0.007608692031194305
1008.0,Assassin,-0.01042176097862044
1008.0,Specialist,0.015449996173037042
1008.0,Support,-0.00368775032116678
1008.0,Warrior,0.004608341332760507
1009.0,Assassin,-0.00806551232083147
1009.0,Specialist,0.023429304114698683
1009.0,Support,-0.011307597762560514
1009.0,Warrior,-0.0013166047087980173
1010.0,Assassin,-0.0017868270783787566
1010.0,Specialist,0.012376813413630002
1010.0,Support,-0.005119895017298286
1010.0,Warrior,-0.004937043515415326
