Hero Level,Is Winner,Adj MMR Before
0,False,2188.113694416859
0,True,2194.2860105623636
1,False,1950.564512229691
1,True,1956.7501152123878
2,False,1961.279075094439
2,True,1965.094867205191
3,False,1972.4680533480632
3,True,1980.4820554885416
4,False,1976.5053581188363
4,True,1984.0738465932468
5,False,2005.399101201667
5,True,2011.8817967998912
6,False,2027.3251091388563
6,True,2033.085289006895
7,False,2047.8587601580477
7,True,2054.9482669197228
8,False,2075.4564951308857
8,True,2081.6134265599903
9,False,2105.0515377929137
9,True,2110.24700287959
10,False,2126.444763515935
10,True,2132.2265644636577
11,False,2158.234793340217
11,True,2164.1694894555176
12,False,2175.916190870402
12,True,2182.4422364325287
13,False,2181.471832776786
13,True,2190.763910687197
14,False,2189.0793922273897
14,True,2199.3737615783702
15,False,2184.1973107879135
15,True,2196.40385981308
16,False,2195.9503391142753
16,True,2204.8743384368204
17,False,2199.3003413856104
17,True,2209.90428694094
18,False,2204.5366996239827
18,True,2216.0090114889376
19,False,2216.743678745467
19,True,2221.3537731882425
20,False,2243.0091902731983
20,True,2249.0297247491017
