PrimaryName,Is Auto Select,Is Winner
Abathur,False,0.4401174225601632
Abathur,True,0.371963361210673
Anub'arak,False,0.48313932917138935
Anub'arak,True,0.47634271099744246
Artanis,False,0.4834884203771163
Artanis,True,0.4554953560371517
Arthas,False,0.4604405746819678
Arthas,True,0.4315037929495761
Azmodan,False,0.49935686394609907
Azmodan,True,0.46940032015761607
Brightwing,False,0.4623612887954598
Brightwing,True,0.4486450317832051
Chen,False,0.49562590262445844
Chen,True,0.448563484708063
Cho,False,0.4341980178857068
Diablo,False,0.5603729596439903
Diablo,True,0.5321620011911852
E.T.C.,False,0.4857275230329344
E.T.C.,True,0.4659621528631113
Falstad,False,0.47351807856009537
Falstad,True,0.43044945816308405
Gall,False,0.4341980178857068
Gazlowe,False,0.49434329844670033
Gazlowe,True,0.4362714013950539
Greymane,False,0.47037681958513156
Illidan,False,0.45678810935395636
Illidan,True,0.38572761194029853
Jaina,False,0.48449400391217234
Jaina,True,0.4577373211963589
Johanna,False,0.505273817956437
Johanna,True,0.4776536312849162
Kael'thas,False,0.5311470641947419
Kael'thas,True,0.4664914586070959
Kerrigan,False,0.4974735226111485
Kerrigan,True,0.45390693590869186
Kharazim,False,0.493223150450828
Kharazim,True,0.49101796407185627
Leoric,False,0.5048961843747717
Leoric,True,0.49012435991221653
Li Li,False,0.49814807481619344
Li Li,True,0.505335291238375
Lt. Morales,False,0.5125607031315003
Lt. Morales,True,0.5041116371791677
Lunara,False,0.42261970980404623
Lunara,True,0.3702201622247972
Malfurion,False,0.4667571990668199
Malfurion,True,0.4570796014893831
Muradin,False,0.5034048969003236
Muradin,True,0.4928206376247262
Murky,False,0.5418001043874967
Murky,True,0.5089974293059126
Nazeebo,False,0.5360270763055447
Nazeebo,True,0.5183211815292578
Nova,False,0.5101349759607998
Nova,True,0.47957298296037776
Raynor,False,0.5479561949420775
Raynor,True,0.5186254295532646
Rehgar,False,0.4646594609546241
Rehgar,True,0.42072882158069097
Rexxar,False,0.49125001807847507
Rexxar,True,0.4638118214716526
Sgt. Hammer,False,0.5162082542086885
Sgt. Hammer,True,0.4827370397413164
Sonya,False,0.5135494664582994
Sonya,True,0.48920600073179654
Stitches,False,0.4501821388856935
Stitches,True,0.4366379310344828
Sylvanas,False,0.48082699587537236
Sylvanas,True,0.4597119501751654
Tassadar,False,0.45623456093493336
Tassadar,True,0.4305659972076039
The Butcher,False,0.5247016922133297
The Butcher,True,0.4631432545201669
The Lost Vikings,False,0.5321610424923365
The Lost Vikings,True,0.45004757373929594
Thrall,False,0.5539579004491285
Thrall,True,0.5122100122100122
Tychus,False,0.4702105285902579
Tychus,True,0.4463199214916585
Tyrael,False,0.4688265820960069
Tyrael,True,0.4479019330504479
Tyrande,False,0.5532584469042133
Tyrande,True,0.52046783625731
Uther,False,0.4713286302175191
Uther,True,0.4933920704845815
Valla,False,0.4838563477541896
Valla,True,0.4626844890002785
Zagara,False,0.5368005424161448
Zagara,True,0.5179079022171689
Zeratul,False,0.46121755005094284
Zeratul,True,0.4385432473444613
